customer_id,store_id,product_name,sales_date,sales_person_id,price,quantity,total_cost,payment_mode
13,123,nutrella,2022-05-05,9,40,8,320,cash
15,121,maida,2022-05-05,1,20,9,180,UPI
16,121,sugar,2022-05-05,1,50,6,300,cash
4,123,clinic plus,2022-05-05,7,1.5,1,1.5,UPI
9,122,refined oil,2022-05-05,4,110,10,1100,cash
8,122,dantkanti,2022-05-05,6,100,10,1000,cash
13,122,maida,2022-05-05,5,20,2,40,UPI
12,121,maida,2022-05-05,1,20,6,120,cash
16,122,quaker oats,2022-05-05,4,212,3,636,UPI
10,122,sugar,2022-05-05,5,50,8,400,cash
9,122,clinic plus,2022-05-05,4,1.5,5,7.5,UPI
6,122,maida,2022-05-05,6,20,2,40,cash
5,123,refined oil,2022-05-05,8,110,10,1100,UPI
14,122,refined oil,2022-05-05,5,110,6,660,cash
4,123,besan,2022-05-05,9,52,10,520,cash
8,122,quaker oats,2022-05-05,5,212,4,848,UPI
8,123,quaker oats,2022-05-05,9,212,6,1272,cash
19,122,quaker oats,2022-05-05,5,212,6,1272,UPI
3,122,nutrella,2022-05-05,5,40,3,120,UPI
18,121,besan,2022-05-05,2,52,9,468,cash
13,121,refined oil,2022-05-05,3,110,3,330,UPI
15,122,quaker oats,2022-05-05,6,212,1,212,cash
19,121,nutrella,2022-05-05,2,40,4,160,cash
7,121,refined oil,2022-05-05,2,110,9,990,cash
19,123,sugar,2022-05-05,7,50,9,450,UPI
5,121,besan,2022-05-05,1,52,8,416,UPI
13,122,maida,2022-05-05,5,20,6,120,cash
6,122,maida,2022-05-05,5,20,6,120,cash
14,123,refined oil,2022-05-05,8,110,7,770,UPI
15,122,maida,2022-05-05,5,20,2,40,cash
9,121,nutrella,2022-05-05,2,40,3,120,cash
9,122,sugar,2022-05-05,6,50,8,400,UPI
1,123,clinic plus,2022-05-05,8,1.5,5,7.5,cash
20,121,dantkanti,2022-05-05,2,100,1,100,cash
2,122,besan,2022-05-05,5,52,1,52,cash
12,122,besan,2022-05-05,5,52,6,312,cash
6,123,clinic plus,2022-05-05,7,1.5,8,12.0,cash
13,122,besan,2022-05-05,6,52,9,468,UPI
17,122,clinic plus,2022-05-05,5,1.5,3,4.5,UPI
16,121,quaker oats,2022-05-05,1,212,3,636,cash
19,123,nutrella,2022-05-05,8,40,3,120,cash
4,121,quaker oats,2022-05-05,3,212,6,1272,cash
9,123,dantkanti,2022-05-05,8,100,8,800,UPI
13,123,quaker oats,2022-05-05,9,212,2,424,cash
6,123,clinic plus,2022-05-05,8,1.5,8,12.0,UPI
6,122,refined oil,2022-05-05,6,110,4,440,UPI
20,123,maida,2022-05-05,9,20,9,180,cash
3,122,besan,2022-05-05,4,52,3,156,cash
18,123,refined oil,2022-05-05,8,110,5,550,cash
14,123,sugar,2022-05-05,8,50,4,200,cash
3,122,sugar,2022-05-05,6,50,10,500,UPI
11,122,clinic plus,2022-05-05,4,1.5,6,9.0,cash
19,121,refined oil,2022-05-05,3,110,5,550,UPI
4,123,clinic plus,2022-05-05,9,1.5,1,1.5,cash
10,122,sugar,2022-05-05,4,50,3,150,cash
3,122,maida,2022-05-05,5,20,7,140,UPI
3,121,clinic plus,2022-05-05,3,1.5,10,15.0,UPI
16,121,dantkanti,2022-05-05,3,100,7,700,UPI
20,123,quaker oats,2022-05-05,9,212,5,1060,cash
10,123,nutrella,2022-05-05,9,40,5,200,cash
2,123,nutrella,2022-05-05,7,40,4,160,cash
4,121,nutrella,2022-05-05,3,40,10,400,UPI
12,121,besan,2022-05-05,2,52,6,312,UPI
4,121,quaker oats,2022-05-05,1,212,4,848,cash
9,123,refined oil,2022-05-05,8,110,4,440,UPI
