customer_id,store_id,product_name,sales_date,sales_person_id,price,quantity,total_cost,payment_mode
11,121,dantkanti,2022-01-01,2,100,3,300,UPI
12,121,clinic plus,2022-01-01,1,1.5,6,9.0,UPI
18,122,clinic plus,2022-01-01,6,1.5,3,4.5,UPI
20,122,refined oil,2022-01-01,4,110,4,440,cash
18,123,sugar,2022-01-01,9,50,1,50,UPI
12,123,quaker oats,2022-01-01,9,212,2,424,cash
4,123,clinic plus,2022-01-01,9,1.5,1,1.5,UPI
9,121,dantkanti,2022-01-01,1,100,9,900,cash
16,122,dantkanti,2022-01-01,4,100,1,100,UPI
8,122,maida,2022-01-01,6,20,3,60,cash
14,122,refined oil,2022-01-01,5,110,8,880,cash
10,122,nutrella,2022-01-01,5,40,2,80,cash
13,123,quaker oats,2022-01-01,7,212,7,1484,UPI
18,122,besan,2022-01-01,6,52,1,52,cash
19,122,besan,2022-01-01,5,52,6,312,cash
20,122,quaker oats,2022-01-01,4,212,6,1272,cash
9,123,maida,2022-01-01,9,20,1,20,cash
8,122,nutrella,2022-01-01,5,40,10,400,cash
17,121,sugar,2022-01-01,1,50,6,300,UPI
18,122,quaker oats,2022-01-01,6,212,8,1696,UPI
13,121,quaker oats,2022-01-01,1,212,10,2120,UPI
16,121,sugar,2022-01-01,2,50,1,50,cash
15,122,clinic plus,2022-01-01,5,1.5,3,4.5,UPI
10,122,dantkanti,2022-01-01,4,100,4,400,UPI
15,122,sugar,2022-01-01,6,50,9,450,UPI
5,121,clinic plus,2022-01-01,1,1.5,3,4.5,UPI
7,121,refined oil,2022-01-01,2,110,8,880,UPI
7,122,refined oil,2022-01-01,6,110,9,990,UPI
5,123,refined oil,2022-01-01,7,110,8,880,UPI
12,122,besan,2022-01-01,4,52,6,312,cash
2,122,refined oil,2022-01-01,4,110,3,330,UPI
11,123,quaker oats,2022-01-01,9,212,8,1696,UPI
4,121,nutrella,2022-01-01,1,40,8,320,cash
8,121,clinic plus,2022-01-01,3,1.5,2,3.0,cash
7,122,maida,2022-01-01,4,20,6,120,cash
14,122,nutrella,2022-01-01,4,40,2,80,UPI
14,123,nutrella,2022-01-01,7,40,6,240,cash
13,122,maida,2022-01-01,5,20,7,140,UPI
7,122,nutrella,2022-01-01,4,40,10,400,UPI
11,121,nutrella,2022-01-01,2,40,1,40,cash
17,123,besan,2022-01-01,8,52,10,520,cash
3,122,refined oil,2022-01-01,6,110,4,440,UPI
17,122,refined oil,2022-01-01,4,110,8,880,UPI
12,122,refined oil,2022-01-01,4,110,2,220,cash
11,121,quaker oats,2022-01-01,1,212,10,2120,cash
10,123,refined oil,2022-01-01,7,110,8,880,cash
13,121,sugar,2022-01-01,3,50,4,200,cash
17,121,nutrella,2022-01-01,1,40,5,200,cash
12,123,refined oil,2022-01-01,7,110,7,770,UPI
16,123,maida,2022-01-01,9,20,1,20,UPI
18,122,clinic plus,2022-01-01,4,1.5,7,10.5,UPI
11,123,quaker oats,2022-01-01,7,212,7,1484,UPI
20,121,nutrella,2022-01-01,1,40,6,240,UPI
11,123,clinic plus,2022-01-01,9,1.5,9,13.5,UPI
15,121,maida,2022-01-01,2,20,7,140,UPI
9,123,dantkanti,2022-01-01,7,100,10,1000,UPI
10,123,clinic plus,2022-01-01,7,1.5,4,6.0,UPI
20,123,maida,2022-01-01,7,20,4,80,UPI
